Devices
1000
		Delsys Trigno - Voltage		
Frame	Sub Frame	EMG 1	EMG 2
		V	V
1	0	0.00427246	0.00762939
1	1	0.00259399	0.0105286
1	2	0.00793457	0.00717163
1	3	-0.00946045	0.0128174
1	4	-0.0100708	0.0106812
1	5	-0.0038147	0.00869751
1	6	-0.0163269	0.00976563
1	7	-0.0141907	0.00900269
1	8	-0.00396729	0.00442505
1	9	0.000762939	0.0109863
2	0	0.01297	0.00823975
2	1	0.0088501	0.0112915
2	2	-0.00137329	0.010376
2	3	-0.00778198	0.00930786
2	4	-0.00427246	0.0111389
2	5	-0.00320435	0.00717163
2	6	-0.00640869	0.00778198
2	7	-0.0141907	0.0112915
2	8	-0.00839233	0.00808716
2	9	-0.0201416	0.0125122
3	0	-0.0236511	0.01297
3	1	-0.0138855	0.00534058
3	2	-0.0128174	0.0108337
3	3	-0.00289917	0.00778198
3	4	-0.0167847	0.00701904
3	5	-0.0132751	0.00900269
3	6	-0.0114441	0.00686646
3	7	-0.00869751	0.0119019
3	8	-0.00305176	0.00488281
3	9	0.000762939	0.0100708
4	0	-0.00534058	0.00976563
4	1	-0.015564	0.0062561
4	2	-0.0134277	0.0102234
4	3	-0.0120544	0.0100708
4	4	-0.00549316	0.0106812
4	5	-0.0123596	0.00854492
4	6	-0.00595093	0.00732422
4	7	-0.00442505	0.00869751
4	8	0.00137329	0.00946045
4	9	-0.00228882	0.00488281
5	0	0.0105286	0.0138855
5	1	0.0137329	0.00350952
5	2	0.0140381	0.00747681
5	3	0.0105286	0.00900269
5	4	0.0128174	0.00717163
5	5	0.00793457	0.0119019
5	6	-0.00137329	0.0062561
5	7	0.00259399	0.01297
5	8	0.0160217	0.0100708
5	9	0.012207	0.00961304
6	0	0.00732422	0.0120544
6	1	0.00106812	0.00915527
6	2	-0.0183105	0.0125122
6	3	-0.0187683	0.0109863
6	4	-0.019989	0.0112915
6	5	-0.0395203	0.0115967
6	6	-0.0268555	0.00671387
6	7	-0.0234985	0.010376
6	8	-0.0259399	0.0112915
6	9	-0.019989	0.0062561
7	0	-0.0128174	0.00991821
7	1	0.00335693	0.0111389
7	2	0.00839233	0.00640869
7	3	0.00518799	0.0126648
7	4	-0.00198364	0.00869751
7	5	-0.0126648	0.0115967
7	6	-0.00473022	0.00900269
7	7	-0.020752	0.00762939
7	8	-0.0216675	0.010376
7	9	-0.0259399	0.00320435
8	0	-0.0254822	0.00869751
8	1	-0.0178528	0.0105286
8	2	-0.00518799	0.0109863
8	3	-0.00350952	0.0126648
8	4	0.00183105	0.00640869
8	5	0.00320435	0.0100708
8	6	0.00976563	0.00915527
8	7	0.0131226	0.00610352
8	8	0.0038147	0.0135803
8	9	0.00640869	0.00854492
9	0	0.00411987	0.0088501
9	1	0.0125122	0.00839233
9	2	0.0100708	0.0111389
9	3	0.00396729	0.0115967
9	4	-0.00427246	0.00717163
9	5	-0.000915527	0.00778198
9	6	0.000762939	0.0144958
9	7	-0.00564575	0.00915527
9	8	-0.0172424	0.0114441
9	9	-0.0161743	0.0119019
10	0	-0.0228882	0.00656128
10	1	-0.0334167	0.0134277
10	2	-0.0305176	0.00549316
10	3	-0.0166321	0.00671387
10	4	-0.0152588	0.00701904
10	5	-0.022583	0.00717163
10	6	-0.0265503	0.0111389
10	7	-0.0132751	0.00747681
10	8	-0.0125122	0.0126648
10	9	-0.00915527	0.0111389
11	0	-0.00854492	0.00564575
11	1	-0.0114441	0.0106812
11	2	0.00183105	0.00976563
11	3	-0.00106812	0.00839233
11	4	-0.000457764	0.00823975
11	5	0.00259399	0.00656128
11	6	-0.0198364	0.00946045
11	7	-0.015564	0.00823975
11	8	-0.0135803	0.00717163
11	9	-0.0175476	0.00717163
12	0	-0.00564575	0.00671387
12	1	-0.00640869	0.00762939
12	2	-0.00534058	0.0115967
12	3	-0.00350952	0.00946045
12	4	-0.00183105	0.012207
12	5	0.00228882	0.00839233
12	6	0.00152588	0.00823975
12	7	-0.00106812	0.0138855
12	8	0.00534058	0.00656128
12	9	0.000457764	0.00976563
13	0	0.0234985	0.00549316
13	1	0.0248718	0.00976563
13	2	0.0141907	0.014801
13	3	0.0126648	0.00823975
13	4	0.00518799	0.00976563
13	5	0.00671387	0.0109863
13	6	0.0112915	0.0100708
13	7	0.00686646	0.010376
13	8	0.000152588	0.00900269
13	9	-0.00488281	0.00869751
14	0	0.00152588	0.0123596
14	1	0.000305176	0.0112915
14	2	0.00259399	0.0105286
14	3	0.000305176	0.00854492
14	4	-0.0112915	0.00747681
14	5	-0.0152588	0.00671387
14	6	-0.00671387	0.00930786
14	7	-0.00823975	0.0111389
14	8	-0.0137329	0.00808716
14	9	-0.0215149	0.00946045
15	0	-0.0231934	0.0117493
15	1	0.00961304	0.00366211
15	2	0.0109863	0.0166321
15	3	0.000457764	0.00930786
15	4	-0.012207	0.00717163
15	5	-0.00442505	0.0111389
15	6	0.00457764	0.00747681
15	7	-0.00686646	0.00793457
15	8	-0.00686646	0.0100708
15	9	-0.00900269	0.00762939
16	0	-0.00732422	0.0105286
16	1	-0.00442505	0.00762939
16	2	-0.0151062	0.00976563
16	3	-0.00778198	0.00701904
16	4	0.000152588	0.00839233
16	5	-0.0012207	0.0125122
16	6	0.00915527	0.00778198
16	7	0.00198364	0.00930786
16	8	-0.00793457	0.0117493
16	9	-0.0050354	0.00808716
17	0	-0.0131226	0.0105286
