TimeStamp	FrameNumber	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
4489.282827	 2686724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.108152	0.000000	-0.193650	-64.353249	817.548767	97.387398	158.318680	-1.670395	88.419266
4489.284496	 2686725	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108143	0.000000	-0.193658	-64.347786	817.512268	97.354202	158.317459	-1.667632	88.408295
4489.286178	 2686726	-0.171618	0.000000	2.128214	0.005977	0.017260	0.005368	-0.036733	0.009815	-0.002962	0.108101	0.000000	-0.193684	-64.321213	817.343018	97.185638	158.306396	-1.657247	88.355385
4489.287829	 2686727	-0.177889	0.000000	1.682920	0.036136	0.101307	0.025662	-0.170491	0.042510	-0.018021	0.108000	0.000000	-0.193725	-64.264709	816.979248	96.761673	158.269043	-1.632982	88.233887
4489.289496	 2686728	-0.194722	0.000000	1.339852	0.119966	0.301122	0.065030	-0.403459	0.090307	-0.058635	0.107824	0.000000	-0.193758	-64.193016	816.415894	95.957718	158.186890	-1.575147	88.029480
4489.291179	 2686729	-0.221342	0.000000	1.085064	0.286226	0.616690	0.118397	-0.669148	0.129680	-0.136500	0.107570	0.000000	-0.193753	-64.138138	815.674377	94.681686	158.039429	-1.448641	87.742485
4489.292830	 2686730	-0.252011	0.000000	0.890154	0.535018	0.995510	0.166496	-0.886158	0.144081	-0.250879	0.107257	0.000000	-0.193679	-64.116234	814.786499	92.956596	157.806641	-1.216624	87.391312
4489.294497	 2686731	-0.282526	0.000000	0.724540	0.842336	1.403156	0.179617	-1.016643	0.131595	-0.396428	0.106883	0.000000	-0.193503	-64.109940	813.701233	90.769867	157.453461	-0.838613	86.970535
4489.296159	 2686732	-0.307812	0.000000	0.576553	1.155407	1.816882	0.122097	-1.047528	0.094158	-0.559259	0.106466	0.000000	-0.193188	-64.075890	812.405396	88.217690	156.947205	-0.308495	86.493294
4489.297828	 2686733	-0.325587	0.000000	0.438222	1.432678	2.233285	-0.041684	-0.978674	0.024655	-0.727128	0.106035	0.000000	-0.192673	-63.967537	810.921082	85.387337	156.242599	0.366132	85.985634
4489.299498	 2686734	-0.337587	0.000000	0.309722	1.638904	2.615476	-0.336050	-0.810070	-0.092331	-0.882952	0.105628	0.000000	-0.191905	-63.775330	809.348816	82.413582	155.317947	1.154894	85.490128
4489.301182	 2686735	-0.345606	0.000000	0.189819	1.759065	2.907171	-0.771652	-0.551835	-0.273699	-1.004736	0.105272	0.000000	-0.190851	-63.530533	807.808960	79.408615	154.171356	2.016135	85.039566
4489.302827	 2686736	-0.348935	0.000000	0.081852	1.797836	3.042061	-1.325555	-0.248999	-0.519080	-1.061483	0.104988	0.000000	-0.189559	-63.296951	806.461792	76.588806	152.871780	2.863675	84.668922
4489.304497	 2686737	-0.347014	0.000000	-0.016211	1.770150	2.979132	-1.992313	0.048295	-0.827860	-1.033801	0.104768	0.000000	-0.188012	-63.114017	805.300293	73.953079	151.406342	3.666203	84.369720
4489.306185	 2686738	-0.338829	0.000000	-0.098992	1.675875	2.711087	-2.723273	0.268376	-1.171992	-0.918595	0.104621	0.000000	-0.186253	-63.004478	804.333008	71.623535	149.809814	4.350941	84.149849
4489.307831	 2686739	-0.322455	0.000000	-0.155485	1.519106	2.296027	-3.428108	0.356997	-1.501919	-0.740364	0.104560	0.000000	-0.184381	-62.965706	803.576660	69.730705	148.164093	4.848804	84.021889
4489.309496	 2686740	-0.292400	0.000000	-0.166814	1.304095	1.784171	-4.047635	0.297624	-1.796545	-0.521691	0.104589	0.000000	-0.182369	-62.974140	802.992371	68.212120	146.440628	5.154459	83.984215
4489.311169	 2686741	-0.237365	0.000000	-0.069458	1.045915	1.237737	-4.478260	0.085971	-2.033035	-0.293796	0.104707	0.000000	-0.180273	-63.008236	802.569458	67.070625	144.681442	5.254689	84.034866
4489.312824	 2686742	-0.120472	0.000000	0.369024	0.760311	0.717877	-4.637786	-0.264914	-2.192349	-0.086484	0.104893	0.000000	-0.178171	-63.064518	802.265808	66.282471	142.940613	5.162982	84.152237
4489.314499	 2686743	0.317363	0.000000	2.776605	0.445460	0.272295	-4.497956	-0.756056	-2.257522	0.086416	0.105119	0.000000	-0.176043	-63.150826	801.993286	65.761528	141.185410	4.896934	84.304840
4489.316177	 2686744	-23.670101	0.000000	-160.573776	0.118367	-0.008554	-4.070080	-1.373611	-2.205657	0.202483	0.105345	0.000000	-0.173923	-63.263885	801.651001	65.423859	139.425842	4.471829	84.450256
4489.317826	 2686745	-5.378380	0.000000	-47.502922	-0.180736	-0.043705	-3.423553	-2.076113	-2.031725	0.235062	0.105528	0.000000	-0.171847	-63.392208	801.139282	65.168022	137.673126	3.922291	84.542313
4489.319491	 2686746	0.882820	0.000000	14.955878	-0.406604	0.188913	-2.621309	-2.825365	-1.748331	0.166776	0.105637	0.000000	-0.169756	-63.520111	800.354736	64.898056	135.864639	3.277420	84.546921
4489.321166	 2686747	-0.005573	0.000000	5.434512	-0.509581	0.652058	-1.741126	-3.543617	-1.386664	-0.003634	0.105656	0.000000	-0.167672	-63.618290	799.244568	64.551620	134.011215	2.599474	84.445244
4489.322825	 2686748	-0.199850	0.000000	3.277189	-0.475075	1.268633	-0.877085	-4.157549	-0.982251	-0.253536	0.105590	0.000000	-0.165653	-63.651344	797.826172	64.094368	132.161942	1.970092	84.242065
4489.324495	 2686749	-0.280660	0.000000	2.343639	-0.332112	1.987361	-0.094069	-4.657656	-0.556079	-0.557773	0.105447	0.000000	-0.163683	-63.584633	796.110229	63.501575	130.309494	1.449293	83.947052
4489.326172	 2686750	-0.322498	0.000000	1.846135	-0.147838	2.739049	0.538628	-5.056653	-0.144859	-0.883339	0.105247	0.000000	-0.161790	-63.382053	794.161499	62.772907	128.487198	1.096870	83.583221
4489.327831	 2686751	-0.346166	0.000000	1.566451	0.012495	3.428317	0.962096	-5.370292	0.205192	-1.186769	0.105027	0.000000	-0.160018	-63.017971	792.072144	61.923313	126.745621	0.943677	83.188805
