TimeStamp	FrameNumber	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
10702.367272	 6414589	1.630812	0.000000	-1.134248	9.286142	1.628464	2.517060	1.847081	-0.919701	2.655719	0.104056	0.000000	-0.320534	-38.839054	714.781372	25.436464	229.112030	-3.541593	74.376991
10702.368934	 6414590	1.617590	0.000000	-1.133077	9.279277	1.637833	2.526484	1.855791	-0.910887	2.649342	0.104051	0.000000	-0.320522	-38.838367	714.772522	25.415436	229.099991	-3.534036	74.372948
10702.370606	 6414591	1.579221	0.000000	-1.146755	9.248694	1.660978	2.567855	1.904735	-0.876693	2.623052	0.104032	0.000000	-0.320451	-38.828671	714.733154	25.315413	229.037308	-3.491342	74.354874
10702.372276	 6414592	1.555443	0.000000	-1.234321	9.184742	1.654907	2.661884	2.042686	-0.811062	2.574114	0.103992	0.000000	-0.320249	-38.797535	714.661865	25.080688	228.869904	-3.368358	74.319397
10702.373942	 6414593	1.627314	0.000000	-1.490469	9.098953	1.548562	2.818403	2.308084	-0.718911	2.519996	0.103936	0.000000	-0.319853	-38.743160	714.565796	24.696669	228.555862	-3.119436	74.269234
10702.375605	 6414594	1.884899	0.000000	-2.051879	8.998582	1.316751	3.026631	2.701813	-0.604876	2.481941	0.103862	0.000000	-0.319269	-38.667957	714.412964	24.184294	228.090027	-2.713055	74.200089
10702.377270	 6414595	2.421643	0.000000	-3.107053	8.860391	1.014392	3.241958	3.151770	-0.478167	2.456496	0.103767	0.000000	-0.318561	-38.568134	714.161011	23.583963	227.503632	-2.139123	74.106247
10702.378943	 6414596	3.327060	0.000000	-4.900280	8.656374	0.728290	3.403190	3.568828	-0.351830	2.423066	0.103652	0.000000	-0.317792	-38.445427	713.790588	22.943571	226.836975	-1.405009	73.985703
10702.380615	 6414597	4.743067	0.000000	-7.848927	8.379953	0.500874	3.456387	3.931321	-0.233604	2.375678	0.103520	0.000000	-0.317020	-38.312405	713.304688	22.314922	226.131729	-0.536784	73.841202
10702.382274	 6414598	7.759194	0.000000	-14.152918	8.032413	0.299216	3.368794	4.234778	-0.136970	2.321674	0.103376	0.000000	-0.316306	-38.180214	712.710022	21.743771	225.434311	0.429512	73.676994
10702.383940	 6414599	37.336163	0.000000	-73.377281	7.600742	0.060784	3.137441	4.460180	-0.078758	2.269449	0.103218	0.000000	-0.315710	-38.063107	711.986145	21.254089	224.781479	1.479618	73.489868
